station_id,hora,ocupacion_historica_estacion_hora
99,6,0.39481495948571427
99,7,0.3889708036357143
99,8,0.286334776342
99,9,0.2831890331833333
99,10,0.5174190888428571
99,11,0.38701723113333336
99,12,0.4720160791571429
99,13,0.4187693259
99,0,0.2392857143
100,9,0.6225296442666667
100,11,0.5909090909
100,0,0.55543007716
100,8,0.5837359098533333
100,14,0.3551150895033333
100,15,0.3931439852666667
100,16,0.4272445820333333
100,17,0.3756001256166667
100,18,0.5232198142333333
100,19,0.5479427468666667
100,20,0.5716785569833334
100,21,0.5716785569833334
100,22,0.6088302598
100,23,0.5355139767666667
100,5,0.8284313725500001
100,6,0.85620915035
100,7,0.5378787879
100,10,0.45652173915
100,12,0.5588235294
100,13,0.45652173915
101,14,0.34615384615833333
101,15,0.4803807303866667
101,16,0.44123931624999996
101,17,0.45299145299999993
101,18,0.35897435897333335
101,19,0.26388888888833334
101,20,0.40659340658333337
101,21,0.5480352980428572
101,22,0.6047008547166667
101,23,0.6837606837666667
101,5,0.68205128208
101,6,0.6410256410499999
101,7,0.5993589743500001
101,8,0.48717948717500004
101,9,0.430769230772
101,10,0.50305944055
101,11,0.61666666668
101,12,0.599358974375
101,13,0.500000000025
102,5,0.4583333333
102,21,0.875
103,21,0.7307692308
103,13,0.1304347826
104,13,0.01724137931
105,0,0.2222222222
105,21,0.275862069
105,8,0.3448275862
106,6,0.82130581486
106,7,0.438384365928
106,8,0.5185185185
106,9,0.43759930072
106,10,0.57203703704
106,11,0.7123102918399999
106,12,0.66910735622
106,13,0.611384615384
106,14,0.654523809525
106,15,0.72925925925
106,16,0.6200861108
106,17,0.46153846155
106,18,0.6753205128249999
106,19,0.737225274725
106,20,0.783974358975
106,22,0.817333129825
106,23,0.8646978022
106,5,0.8300264550249999
106,21,0.7356649310666666
106,0,0.6449275362
107,14,0.12408963586999999
107,15,0.19523809523666666
107,16,0.16526610646666667
107,17,0.18403361347
107,18,0.11764705881
107,19,0.06806722689
107,20,0.09635854341
107,21,0.22016806723333335
107,22,0.19159663864666668
107,23,0.20112044816666666
107,5,0.3535014005333334
107,6,0.47142857140000005
107,7,0.35714285715000005
107,8,0.24873949580500002
107,9,0.22554112552
107,10,0.147058823555
107,11,0.08823529412
107,12,0.04411764706
107,13,0.11764705880500001
108,5,0.7878787879
110,5,0.2
110,9,0.0
110,11,0.0
110,21,0.8421052632
110,13,0.05
