station_id,hora,dia_semana,historico_estacion_hora_dia
36,13,1,0.1875
36,14,1,0.0625
36,15,1,0.0
36,16,1,0.0
36,17,1,0.0625
36,18,1,0.125
36,19,1,0.125
36,20,1,0.0625
36,21,1,0.0625
36,22,1,0.0
36,23,1,0.0
36,5,2,0.0
36,6,2,0.0
36,7,2,0.0
36,8,2,0.375
36,9,2,0.875
36,10,2,0.75
36,11,2,0.75
36,12,2,0.8333333333
36,13,2,0.75
36,14,2,0.75
36,15,2,0.5625
36,16,2,0.7058823529
36,17,2,0.7368421053
36,18,2,0.0
36,19,2,0.0
36,20,2,0.05882352941
36,21,2,0.0
36,22,2,0.05882352941
36,23,2,0.05882352941
36,5,3,0.1176470588
36,6,3,0.05882352941
36,7,3,0.2352941176
36,8,3,0.875
36,9,3,0.8125
36,10,3,0.8888888889
36,11,3,0.7777777778
36,12,3,0.6111111111
36,0,4,0.0
36,0,6,0.0
37,21,6,0.1551724138
37,5,6,0.4666666667
38,0,4,0.9047619048
38,0,6,0.0
38,6,6,0.0
38,7,6,0.0
38,8,6,0.0
38,9,6,0.0
38,10,6,0.0
38,11,6,0.0
38,12,6,0.0
38,13,6,0.0
38,14,6,0.0
38,15,6,0.0
38,16,6,0.0
38,17,6,0.1363636364
38,18,6,0.04545454545
38,19,6,0.04545454545
38,20,6,0.04545454545
38,21,6,0.3409090909
38,22,6,0.4090909091
38,23,6,0.3181818182
38,5,0,0.6666666667
38,6,0,0.380952381
38,7,0,0.1818181818
38,9,0,0.0
38,10,0,0.0
38,11,0,0.0
38,12,0,0.0
38,13,0,0.04347826087
38,14,0,0.0
38,15,0,0.04347826087
38,16,0,0.347826087
38,17,0,0.5217391304
38,18,0,0.7826086957
38,19,0,0.652173913
38,20,0,0.5909090909
38,21,0,0.652173913
38,22,0,0.7826086957
38,23,0,0.8695652174
38,5,1,0.9565217391
38,6,1,0.9565217391
38,7,1,0.7826086957
38,9,1,0.4347826087
38,10,1,0.3913043478
38,11,1,0.3913043478
38,12,1,0.347826087
38,13,1,0.347826087
38,14,1,0.1304347826
38,15,1,0.1739130435
38,16,1,0.08695652174
38,17,1,0.2173913043
38,18,1,0.2173913043
38,19,1,0.1739130435
38,20,1,0.7391304348
38,21,1,0.7391304348
38,22,1,0.6956521739
38,23,1,0.6086956522
38,5,2,0.6956521739
38,6,2,0.5652173913
38,7,2,0.4347826087
38,8,2,0.1739130435
38,9,2,0.0
38,10,2,0.04347826087
38,11,2,0.3181818182
38,12,2,0.1304347826
38,13,2,0.0
38,14,2,0.04347826087
38,15,2,0.0
38,16,2,0.0
38,17,2,0.0
38,18,2,0.3913043478
38,19,2,0.04347826087
38,20,2,0.2173913043
38,21,2,0.4347826087
38,22,2,0.5652173913
38,23,2,0.6086956522
38,5,3,0.6086956522
38,6,3,0.5217391304
38,7,3,0.08695652174
38,8,3,0.09090909091
38,9,3,0.0
38,10,3,0.0
38,11,3,0.04347826087
38,12,3,0.04347826087
39,9,6,0.05555555556
39,11,6,0.0
39,13,3,0.0
40,14,3,0.03333333333
40,15,3,0.06896551724
40,16,3,0.0
40,17,3,0.03448275862
40,18,3,0.3
40,19,3,0.03448275862
40,20,3,0.03448275862
40,21,3,0.1379310345
40,22,3,0.0
40,23,3,0.03448275862
40,5,4,0.0
40,6,4,0.1724137931
40,7,4,0.3448275862
40,8,4,0.2068965517
40,9,4,0.1724137931
40,10,4,0.1034482759
40,11,4,0.1034482759
40,12,4,0.03571428571
40,13,4,0.03333333333
40,14,4,0.03333333333
40,15,4,0.0
40,16,4,0.1333333333
40,17,4,0.06666666667
40,18,4,0.06666666667
40,19,4,0.1666666667
40,20,4,0.03333333333
40,21,4,0.09677419355
40,22,4,0.03225806452
40,23,4,0.03225806452
40,5,5,0.09677419355
40,6,5,0.06451612903
40,7,5,0.09677419355
40,8,5,0.09677419355
40,9,5,0.2580645161
40,10,5,0.3870967742
40,11,5,0.09677419355
40,12,5,0.0
40,13,5,0.06451612903
40,14,5,0.1290322581
40,15,5,0.06451612903
40,16,5,0.06451612903
40,17,5,0.0
40,18,5,0.0
40,19,5,0.0
40,20,5,0.0
40,21,5,0.0
40,22,5,0.0
40,23,5,0.0
40,21,6,0.09677419355
40,8,0,0.1935483871
40,0,5,0.04
40,5,6,0.2413793103
41,21,6,0.3181818182
41,13,3,0.2272727273
42,13,3,0.1578947368
42,14,3,0.05555555556
42,15,3,0.05882352941
42,16,3,0.1176470588
42,17,3,0.05882352941
42,18,3,0.1176470588
42,19,3,0.2352941176
42,20,3,0.3529411765
42,21,3,0.3529411765
42,22,3,0.5294117647
42,23,3,0.0
42,5,4,0.1176470588
42,6,4,0.1176470588
42,7,4,0.1764705882
42,8,4,0.0
42,9,4,0.0
42,10,4,0.1176470588
42,11,4,0.0
42,12,4,0.0
42,13,4,0.2631578947
42,14,4,0.2631578947
42,15,4,0.3684210526
42,16,4,0.3157894737
42,17,4,0.0
42,18,4,0.05555555556
42,19,4,0.1111111111
42,20,4,0.1111111111
42,21,4,0.1111111111
42,22,4,0.0
42,23,4,0.05555555556
42,5,5,0.1111111111
42,6,5,0.1666666667
42,7,5,0.1666666667
42,8,5,0.05555555556
42,9,5,0.1111111111
42,10,5,0.2222222222
42,11,5,0.2777777778
42,12,5,0.2777777778
42,13,5,0.2222222222
42,14,5,0.1666666667
42,15,5,0.05555555556
42,16,5,0.1111111111
42,17,5,0.1111111111
42,18,5,0.05555555556
42,19,5,0.05555555556
42,20,5,0.1111111111
42,21,5,0.2222222222
42,22,5,0.2222222222
42,23,5,0.4117647059
42,5,6,0.41950464395
43,0,4,0.0
43,0,6,0.2631578947
43,6,6,0.2631578947
43,7,6,0.2631578947
43,8,6,0.2631578947
43,10,6,0.2105263158
43,12,6,0.05263157895
43,13,6,0.0
43,14,6,0.0
43,15,6,0.05263157895
43,16,6,0.05263157895
